Ground Truth,Prediction,CER
QBD5290,QA A 7 9 9 5 2 5 B,2.142857142857143
QCT1135,QA A 3 4 7 7 6 B,2.0
QPB7072,Q K 3 5 4 3 4 5,2.0
KS2065Q,SM S 9 4 0 6 9 D,1.8571428571428572
QKR5121,QT A 3 4 7 5 8,1.8571428571428572
QS9076A,QT A 1 5 4 5 4,1.8571428571428572
FG6188,W M 5 7 5 5,1.8333333333333333
QAB4508G,QK S 7 9 0 0 0 A,1.75
DET6868,Q S 1 6 3 5 2,1.7142857142857142
QAP4882,QT B 9 4 9 9 5,1.7142857142857142
