epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1242.15,1.18521,0.85214,1.28194,0.88441,0.80347,0.89313,0.68196,0.90936,0.72601,1.19427,0.005743,0.005743,0.005743
45,1270.46,1.17524,0.84713,1.27187,0.88234,0.82309,0.9,0.67572,0.90644,0.72651,1.1837,0.005644,0.005644,0.005644
46,1298.61,1.18176,0.84393,1.27723,0.91141,0.7845,0.88903,0.67761,0.90762,0.69613,1.1778,0.005545,0.005545,0.005545
47,1326.73,1.15904,0.8257,1.26886,0.90588,0.8016,0.88816,0.67077,0.86463,0.67738,1.15539,0.005446,0.005446,0.005446
48,1355.07,1.15803,0.82493,1.26438,0.8857,0.79789,0.88519,0.68627,0.86696,0.69502,1.17298,0.005347,0.005347,0.005347
49,1383.39,1.16204,0.83607,1.26854,0.87126,0.79983,0.89383,0.67936,0.89702,0.72395,1.16925,0.005248,0.005248,0.005248
50,1411.43,1.1489,0.82139,1.25627,0.90832,0.80513,0.90092,0.69909,0.87274,0.68169,1.17438,0.005149,0.005149,0.005149
51,1439.67,1.14181,0.81398,1.24446,0.87691,0.81991,0.89386,0.69646,0.84263,0.68558,1.14029,0.00505,0.00505,0.00505
52,1468.28,1.1429,0.8089,1.25579,0.85719,0.82288,0.89501,0.68785,0.85057,0.66381,1.15099,0.004951,0.004951,0.004951
53,1496.47,1.1309,0.80765,1.24628,0.93736,0.79733,0.89444,0.70614,0.8223,0.66792,1.14474,0.004852,0.004852,0.004852
54,1524.9,1.15651,0.82128,1.26336,0.9096,0.81789,0.9045,0.69968,0.85005,0.6706,1.15883,0.004753,0.004753,0.004753
55,1553.16,1.11465,0.79935,1.23931,0.87851,0.79943,0.88526,0.68402,0.87384,0.6837,1.16674,0.004654,0.004654,0.004654
56,1581.34,1.13048,0.79581,1.23601,0.89147,0.8044,0.89757,0.6773,0.88713,0.69506,1.17495,0.004555,0.004555,0.004555
57,1609.47,1.11806,0.78914,1.24282,0.89221,0.82192,0.89656,0.70084,0.82153,0.66504,1.13524,0.004456,0.004456,0.004456
58,1637.87,1.12382,0.79515,1.2316,0.90737,0.80626,0.90076,0.68212,0.86239,0.68769,1.13036,0.004357,0.004357,0.004357
59,1666.1,1.1087,0.78743,1.23236,0.85491,0.83673,0.89309,0.69403,0.83757,0.66168,1.13621,0.004258,0.004258,0.004258
60,1694.27,1.09454,0.77104,1.2268,0.89594,0.82576,0.89874,0.69249,0.85536,0.65407,1.13403,0.004159,0.004159,0.004159
61,1722.72,1.1052,0.7815,1.23295,0.92733,0.78766,0.89842,0.70261,0.84131,0.66006,1.15452,0.00406,0.00406,0.00406
62,1751.34,1.08496,0.76567,1.21661,0.8875,0.82002,0.90686,0.7085,0.81396,0.65203,1.1103,0.003961,0.003961,0.003961
63,1779.64,1.08764,0.77384,1.21792,0.90858,0.8043,0.9021,0.69731,0.83443,0.65502,1.11631,0.003862,0.003862,0.003862
64,1808.17,1.07847,0.76139,1.21633,0.91058,0.81005,0.90855,0.70972,0.80587,0.63375,1.11745,0.003763,0.003763,0.003763
65,1836.72,1.07522,0.74913,1.19876,0.88325,0.85521,0.91208,0.70975,0.82036,0.62119,1.10739,0.003664,0.003664,0.003664
66,1865.04,1.06666,0.74925,1.20551,0.87683,0.83553,0.90153,0.70688,0.8206,0.63578,1.12026,0.003565,0.003565,0.003565
67,1893.29,1.0685,0.75023,1.20512,0.89771,0.82245,0.90675,0.68804,0.84668,0.64831,1.11817,0.003466,0.003466,0.003466
68,1921.66,1.05174,0.73871,1.20384,0.91729,0.82228,0.90103,0.70604,0.80852,0.63373,1.10155,0.003367,0.003367,0.003367
69,1950.02,1.06732,0.7419,1.19563,0.87847,0.83514,0.91028,0.72606,0.78947,0.61266,1.0974,0.003268,0.003268,0.003268
70,1978.44,1.05781,0.74075,1.1952,0.90131,0.82085,0.90121,0.70155,0.82462,0.64183,1.11803,0.003169,0.003169,0.003169
71,2006.68,1.05188,0.73584,1.19555,0.90104,0.81198,0.89793,0.70025,0.84445,0.62058,1.12515,0.00307,0.00307,0.00307
72,2035.12,1.04619,0.72187,1.19038,0.88391,0.83293,0.90223,0.70364,0.80118,0.62651,1.10781,0.002971,0.002971,0.002971
73,2063.39,1.0385,0.71937,1.18996,0.89997,0.81935,0.90628,0.709,0.80746,0.62266,1.10929,0.002872,0.002872,0.002872
74,2091.64,1.0445,0.72285,1.18942,0.89884,0.82181,0.90413,0.7145,0.79191,0.63326,1.09977,0.002773,0.002773,0.002773
75,2119.95,1.04335,0.71322,1.18372,0.8943,0.82496,0.90184,0.71308,0.7998,0.60946,1.10599,0.002674,0.002674,0.002674
76,2148.19,1.02954,0.70494,1.17136,0.8875,0.82178,0.90056,0.71157,0.80604,0.61301,1.10069,0.002575,0.002575,0.002575
77,2176.43,1.0194,0.70577,1.1784,0.87574,0.82991,0.89827,0.71363,0.80721,0.61317,1.10072,0.002476,0.002476,0.002476
78,2204.67,1.02913,0.70979,1.18249,0.89224,0.81572,0.89691,0.71228,0.80539,0.61962,1.10377,0.002377,0.002377,0.002377
79,2233.03,1.01924,0.7007,1.17347,0.90994,0.826,0.90804,0.72296,0.78269,0.60097,1.09717,0.002278,0.002278,0.002278
80,2261.38,1.0211,0.70473,1.17525,0.90151,0.8211,0.89733,0.71973,0.79572,0.60518,1.09785,0.002179,0.002179,0.002179
81,2289.59,1.01649,0.69403,1.16893,0.89193,0.8358,0.90122,0.71648,0.78987,0.59682,1.09254,0.00208,0.00208,0.00208
82,2318.22,1.00587,0.68437,1.16103,0.89074,0.82243,0.90059,0.71647,0.79157,0.60919,1.10615,0.001981,0.001981,0.001981
83,2346.1,0.99753,0.68737,1.15768,0.89701,0.82021,0.89821,0.70582,0.79824,0.6151,1.09985,0.001882,0.001882,0.001882
84,2374.35,1.00083,0.68474,1.16316,0.88846,0.81562,0.89431,0.71321,0.7982,0.63059,1.10889,0.001783,0.001783,0.001783
85,2402.51,0.9949,0.67581,1.15703,0.89246,0.81874,0.89713,0.71663,0.78988,0.60941,1.09728,0.001684,0.001684,0.001684
86,2430.91,0.99261,0.67665,1.15917,0.89736,0.81841,0.89985,0.72212,0.77809,0.59719,1.09032,0.001585,0.001585,0.001585
87,2459.08,0.98151,0.66868,1.15024,0.90979,0.81935,0.90238,0.72038,0.78851,0.59111,1.10058,0.001486,0.001486,0.001486
88,2487.23,0.97425,0.67048,1.149,0.88138,0.83431,0.90318,0.72033,0.78923,0.59927,1.09989,0.001387,0.001387,0.001387
89,2515.34,0.98509,0.67028,1.15104,0.89874,0.8367,0.90393,0.72463,0.77927,0.58739,1.0926,0.001288,0.001288,0.001288
